Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2055 0.037890133614 0.688871759976 -0.0547398704247 -0.613638130325 -0.0211990667006 0.0686038366732 0.132942599796 0 0.0569787347828 0.00149054557877 1.08 4.38 2.0 0.
2056 -0.102015461232 0.586856298744 -0.0479351511869 -0.661573281512 -0.0425791786192 0.026024658054 0.0 0.0 0.0 0.0 0.9592 3.8312 1.7872 0.04768
2057 0.0124553602545 0.599311658998 -0.0373997939568 -0.698973075469 -0.0122719960885 0.0137526619655 0.0 0.0 0.0 0.0 0.8393 3.3523 1.5638 0.04172
2058 0.145359499622 0.74467115862 -0.0869291319704 -0.785902207439 -0.0324305009827 -0.0186778390172 0.0 0.0 0.0 0.0 0.7194 2.8734 1.3404 0.03576
2059 0.106589342733 0.851260501353 -0.0794549227178 -0.865357130157 -0.0464685753239 -0.0651464143411 0.0 0.0 0.0 0.0 0.5995 2.3945 1.117 0.0298
2060 0.10338409723 0.954644598583 -0.0252555117726 -0.89061264193 0.0607264213022 -0.00441999303892 0.0 0.0 0.0 0.0 0.4796 1.9156 0.8936 0.02384
2061 0.155948829833 1.11059342842 -0.000496905727619 -0.891109547658 0.0776613086053 0.0732413155664 0.0 0.0 0.0 0.0 0.3597 1.4367 0.6702 0.01788
2062 0.463510491176 1.5741039196 0.0113563882101 -0.879753159448 0.0143800609884 0.0876213765548 0.0 0.0 0.0 0.0 0.2398 0.9578 0.4468 0.01192
2063 0.422859220847 1.99696314045 0.0118627066956 -0.867890452752 0.0102401497168 0.0978615262716 0.0 0.0 0.0 0.0 0.1199 0.4789 0.2234 0.00596
2064 0.485432457654 2.4823955981 0.121428327775 -0.746462124977 0.0693030480234 0.167164574295 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2065 0.685814858982 3.16821045708 0.0717338412993 -0.674728283678 0.0435598245143 0.210724398809 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2066 0.706780158145 3.87499061523 0.0944520624465 -0.580276221231 0.0171668195496 0.227891218359 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2067 0.80976682791 4.68475744314 0.0863027261258 -0.493973495105 0.00744361768203 0.235334836041 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2068 0.627045870785 5.31180331393 0.0229030988226 -0.471070396282 0.00954582978209 0.244880665823 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2069 0.792924643632 6.10472795756 0.0420548091836 -0.429015587098 0.0945984233798 0.339479089203 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2070 1.02778431645 7.13251227401 0.0813087345209 -0.347706852577 0.0935776316307 0.433056720834 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
