Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.242676293025 0.457376293025 -0.0397156998033 0.0401843001967 -0.0635124866346 -0.0285124866346 0.0485203806183 0 0.00024916212457 0 0.00498324 1.45934885 1.44813655 0.
2037 0.398230815845 0.85560710887 0.0115522016523 0.051736501849 -0.0057180323001 -0.0342305189347 0.0773139821107 7.06370276728e-05 0 0 0. 2.31730035 2.32047902 0.00141274
2038 0.238692430217 1.09429953909 -0.0622001530913 -0.0104636512423 0.0284317296505 -0.0057987892842 0.104949840673 0 0.00767382622668 0 0.15347652 3.26360261 2.91828043 0.
2039 0.168144113303 1.26244365239 -0.0158799123696 -0.0263435636119 0.0323225542261 0.0265237649419 0.133435094088 0 0.010921064149 0 0.21842128 4.16686878 3.6754209 0.
2040 0.284184826512 1.5466284789 -0.109049029789 -0.135392593401 -0.0455285771408 -0.0190048121989 0.168172873036 0 0.0351583959708 0 0.70316792 5.57256213 3.99043431 0.
2041 0.178905067604 1.7255335465 -0.0485710689779 -0.183963662379 0.0297134726777 0.0107086604788 0.191697916534 0 0.0349354785903 0 0.69870957 6.27496967 4.70287314 0.
2042 0.210893601081 1.93642714758 0.0103512015833 -0.173612460796 0.0594743480265 0.0701830085053 0.218320359944 0 0.0319415576689 0.00115712553743 0.68511617 6.9940204 5.5566503 0.04628502
2043 0.367226220114 2.30365336769 -0.00192013589474 -0.175532596691 0.0246433207021 0.0948263292074 0.250079187049 0 0.0378007389921 0 0.75601478 8.0693867 6.36835344 0.
2044 0.449947297599 2.75360066529 -0.0464867687772 -0.222019365468 -0.0312105369429 0.0636157922645 0.282004718662 0 0.0495309757691 0 0.99061952 9.2031062 6.97421229 0.
2045 0.460354937113 3.2139556024 -0.0424228403842 -0.264442205852 -0.00571923200368 0.0578965602608 0.312797374162 0 0.0567268794182 0 1.13453759 10.23482442 7.68211484 0.
